Aktienkurs für PUM.DE von 2024-09-20 bis 2024-11-07:
Ticker         PUM.DE
Date                 
2024-09-20  35.270000
2024-09-23  35.330002
2024-09-24  36.270000
2024-09-25  36.869999
2024-09-26  37.590000
2024-09-27  38.619999
2024-09-30  37.500000
2024-10-01  37.590000
2024-10-02  37.150002
2024-10-03  36.770000
2024-10-04  37.110001
2024-10-07  36.980000
2024-10-08  36.150002
2024-10-09  36.320000
2024-10-10  36.209999
2024-10-11  36.200001
2024-10-14  36.000000
2024-10-15  37.820000
2024-10-16  39.180000
2024-10-17  39.099998
2024-10-18  39.369999
2024-10-21  39.590000
2024-10-22  39.650002
2024-10-23  39.209999
2024-10-24  40.509998
2024-10-25  42.540001
2024-10-28  43.180000
2024-10-29  42.770000
2024-10-30  41.930000
2024-10-31  41.779999
2024-11-01  43.080002
2024-11-04  42.419998
2024-11-05  42.410000
2024-11-06  43.299999
2024-11-07  45.759998

Aktienkurs für PUM.DE von 2024-12-09 bis 2025-01-31:
Ticker         PUM.DE
Date                 
2024-12-09  46.290001
2024-12-10  46.290001
2024-12-11  46.320000
2024-12-12  46.980000
2024-12-13  45.750000
2024-12-16  45.139999
2024-12-17  45.000000
2024-12-18  45.450001
2024-12-19  45.130001
2024-12-20  45.529999
2024-12-23  45.130001
2024-12-27  45.049999
2024-12-30  45.049999
2025-01-02  44.290001
2025-01-03  43.500000
2025-01-06  44.709999
2025-01-07  43.889999
2025-01-08  42.990002
2025-01-09  43.250000
2025-01-10  42.709999
2025-01-13  41.520000
2025-01-14  41.779999
2025-01-15  41.689999
2025-01-16  40.610001
2025-01-17  40.610001
2025-01-20  40.610001
2025-01-21  40.610001
2025-01-22  41.860001
2025-01-23  32.310001
2025-01-24  32.310001
2025-01-27  31.750000
2025-01-28  31.830000
2025-01-29  31.049999
2025-01-30  31.049999
2025-01-31  30.410000

Aktienkurs für PUM.DE von 2005-08-19 bis 2005-10-06:
Ticker         PUM.DE
Date                 
2005-08-19  17.827457
2005-08-22  17.889872
2005-08-23  17.860355
2005-08-24  18.007957
2005-08-25  17.843481
2005-08-26  17.982653
2005-08-29  18.071217
2005-08-30  18.003742
2005-08-31  18.514034
2005-09-01  19.133982
2005-09-02  18.977942
2005-09-05  18.999023
2005-09-06  18.965288
2005-09-07  19.328819
2005-09-08  19.188807
2005-09-09  19.433416
2005-09-12  19.451967
2005-09-13  19.104464
2005-09-14  19.047106
2005-09-15  19.064819
2005-09-16  18.937454
2005-09-19  19.032770
2005-09-20  18.878412
2005-09-21  18.865761
2005-09-22  18.819368
2005-09-23  18.665859
2005-09-26  18.853109
2005-09-27  18.771294
2005-09-28  19.318703
2005-09-29  19.117111
2005-09-30  19.042891
2005-10-03  19.009151
2005-10-04  19.155067
2005-10-05  18.866602
2005-10-06  18.556210

Aktienkurs für PUM.DE von 2024-11-25 bis 2025-01-17:
Ticker         PUM.DE
Date                 
2024-11-25  44.490002
2024-11-26  45.000000
2024-11-27  44.330002
2024-11-28  44.330002
2024-11-29  44.299999
2024-12-02  43.160000
2024-12-03  42.990002
2024-12-04  43.650002
2024-12-05  45.759998
2024-12-06  46.529999
2024-12-09  46.290001
2024-12-10  46.290001
2024-12-11  46.320000
2024-12-12  46.980000
2024-12-13  45.750000
2024-12-16  45.139999
2024-12-17  45.000000
2024-12-18  45.450001
2024-12-19  45.130001
2024-12-20  45.529999
2024-12-23  45.130001
2024-12-27  45.049999
2024-12-30  45.049999
2025-01-02  44.290001
2025-01-03  43.500000
2025-01-06  44.709999
2025-01-07  43.889999
2025-01-08  42.990002
2025-01-09  43.250000
2025-01-10  42.709999
2025-01-13  41.520000
2025-01-14  41.779999
2025-01-15  41.689999
2025-01-16  40.610001
2025-01-17  40.610001

Aktienkurs für PUM.DE von 2019-08-26 bis 2019-10-14:
